Funds,Fund Manager,Category,RupeeVestRating,AUM(in Rs. cr),ExpenseRatio (%),Fund Type,Inception Date,Benchmark Index, NAV , 52 WeekHigh (NAV), 52 WeekLow (NAV),Return (%)1 mo,Return (%)3 mo,Return (%)6 mo,Return (%)1 yr,Return (%)2 yrs,Return (%)3 yrs,Return (%)5 yrs,Return (%)10 yrs,Turnover Ratio (%), No. ofStocks,Avg. Market Cap(in Rs. cr),Large Cap(%),Mid Cap(%),Small Cap(%),Highest Sector,Avg. Maturity(in yrs),Mod. Duration(in yrs),Yield To Maturity (%),Alpha,Sharpe,Sortino,Beta,Standard Deviation,classification,Exit_load_Remarks
DSP Overnight Fund-Reg(G),Karan Mundhra,DT-ON,5,2333.8,0.14,Open Ended,09-Jan-19,CRISIL Liquid Overnight Index,1340.3,1340.3,1257.05,0.55,1.61,3.24,6.64,6.63,5.97,4.88,15.47,0,10,59072,87.87,12.91,6.56,Construction,0.01,0.92,6.68,1.18,8.59,11.25,0.33,0.14,Debt : Overnight,Nil
DSP Quant Fund-Reg(G),Aparna Karnik,EQ-THEM,Unrated,1066.1,1.27,Open Ended,10-Jun-19,BSE 200 - TRI,21.45,23.45,18.55,-1.51,-8.99,0.61,10.44,16.01,7.58,14.58,16.35,47,48,223121,77.84,22.29,6.77,Financials,0.11,5.33,7.27,2.75,0.56,0.92,0.78,12.01,Equity : Thematic,Nil
DSP Regular Savings Fund-Reg(G),Abhishek Singh,HY-DT(CO),2,180.3,1.11,Open Ended,11-Jun-04,CRISIL Hybrid 85+15 - Conservative Index,56.36,56.44,50.5,0.18,-0.27,4.15,10.95,11.67,8.92,8.71,7.04,0,30,218440,17.47,0.96,3.5,Financials,3.07,2.48,7.08,4.81,2.04,3.24,0.68,3.36,Hybrid : Debt Oriented (Conservative),Nil
DSP Savings Fund-Reg(G),Karan Mundhra,DT-MM,3,4210.9,0.47,Open Ended,30-Sep-99,CRISIL Money Market Index,50.77,50.77,47.29,0.61,1.71,3.54,7.37,7.26,6.16,5.55,6.27,0,68,218440,59.95,16.4,25.97,Financials,0.61,0.56,7.47,3.15,10.15,20.82,0.04,0.32,Debt : Money Market,Nil
DSP Short Term Fund-Reg(G),Karan Mundhra,DT-SD,3,2848.1,0.96,Open Ended,09-Sep-02,CRISIL Short Duration Debt Index,44.62,44.62,41.45,0.52,1.51,3.99,7.63,7.12,5.73,5.85,6.69,0,31,194798,22.87,21.13,24.09,Financials,3.98,2.81,7.49,2.52,5.46,11.29,0.32,0.64,Debt : Short Duration,Nil
DSP Silver ETF,Ravi Gehani,GOLD-ETF,Unrated,284.2,0.5,Open Ended,19-Aug-22,Silver,85.26,96.51,68.22,-3.79,-4.53,-2.21,15.82,10.12,18.51,9.83,6.61,42,64,127222,86.88,16.14,12.47,Capital Goods,4.24,5.27,7.25,11.84,0.61,1.04,0.71,22.82,Gold : ETFs,Nil
DSP Small Cap Fund-Reg(G),Vinit Sambre,EQ-SML,3,16307.3,1.71,Open Ended,14-Jun-07,BSE 250 Small Cap - TRI,203.42,207.45,149.65,2.35,-0.9,8.12,25.62,33.43,21.6,30.03,18.52,24,74,9431,96.84,3.13,90.72,FMCG,0.32,1.3,7.19,17.67,1.29,1.93,0.71,16.51,Equity : Small Cap,1% before 12M Nil on or after 12M
DSP Strategic Bond Fund-Reg(G),Sandeep Yadav,DT-DYN,5,1927.3,1.19,Open Ended,09-May-07,CRISIL Dynamic Bond Index,3246.75,3262.75,2944.45,0.25,-0.05,3.79,9.99,8.83,6.36,6.62,7.18,0,38,89788,45.7,66.55,3.31,Automobile and Ancillaries,31.71,11.6,7.16,1.26,2.06,3.48,1.44,2.7,Debt : Dynamic Bond,Nil
DSP Top 100 Equity Fund-Reg(G),Abhishek Singh,EQ-LC,1,4530,1.94,Open Ended,10-Mar-03,BSE 100 - TRI,459.37,486.27,369.36,-1.22,-6.05,2.84,20.73,24.57,16.45,15,11.15,39,32,329504,80.59,2.91,6.01,Financials,3.99,4.85,6.89,11.77,1.27,1.97,0.85,12.63,Equity : Large Cap,1% before 12M Nil on or after 12M
DSP Ultra Short Fund-Reg(G),Shalini Vasanta,DT-USD,2,3062,1.01,Open Ended,31-Jul-06,CRISIL Ultra Short Term Debt Index,3284.68,3284.68,3072.58,0.57,1.64,3.36,6.91,6.8,5.9,5.04,5.89,0,87,132495,62.44,89.87,10.09,FMCG,0.46,0.42,7.47,2.72,9.94,20.05,0.03,0.28,Debt : Ultra Short Duration,Nil
DSP US Flexible Equity FoF-Reg(G),Jay Kothari,FOF-OVR,Unrated,853.1,2.34,Open Ended,03-Aug-12,Russell 1000 Index,57.42,58.7,47.87,1.61,3.72,5.42,17.75,19.81,10.55,15.51,12.92,106.44,251,77293,41.54,24.62,32.94,Capital Goods,6.85,2.52,7.33,12.12,1.07,1.63,0.92,13.87,FoFs : Overseas,Nil
DSP US Treasury FoF-Reg(G),Jay Kothari,FOF-OVR,Unrated,60.3,0.26,Open Ended,18-Mar-24,S&P US Treasury Bond Index,10.56,10.81,9.86,-0.1,-1.38,3.72,17.79,7.47,6.04,20.66,8.38,161,41,74545,59.95,10.88,7.05,Financials,2.05,3.94,7.25,6.98,0.98,1.4,0.53,14.1,FoFs : Overseas,0.10% before 7D Nil on or after 7D
DSP Value Fund-Reg(G),Aparna Karnik,EQ-VAL,Unrated,910.4,1.7,Open Ended,10-Dec-20,NIFTY 500 - TRI,20.67,21.68,17.08,-0.74,-4.78,5.4,20.53,7.47,15.23,15.88,12.84,107,57,138929,43.68,6.75,15.25,Healthcare,3.09,4.97,7.33,16.83,1.76,2.94,0.56,10.31,Equity : Value / Contra,1% on or before 12M Nil after 12M
DSP World Agriculture Fund-Reg(G),Jay Kothari,FOF-OVR,Unrated,10.1,2.24,Open Ended,19-Oct-11,MSCI ACWI Net TRI,18.68,19.18,17.4,-0.53,5.69,2.83,7.44,2.26,-5.96,2.92,6.28,33,30,174083,43.7,16.37,34.65,Financials,1.07,0.01,7.15,-1.18,0.37,0.65,1.47,11.79,FoFs : Overseas,Nil
DSP World Gold FoF-Reg(G),Jay Kothari,FOF-OVR,Unrated,1045,2.35,Open Ended,14-Sep-07,FTSE Gold Mines,19.95,24.53,14.3,-7.7,-10.9,5.36,15.94,11.33,4.62,6.49,7.04,22,55,58791,37.77,14.49,28.62,Financials,0.28,0.32,6.68,9.98,0.57,0.99,1.96,27.32,FoFs : Overseas,Nil
DSP World Mining FoF-Reg(G),Jay Kothari,FOF-OVR,Unrated,137.4,2.18,Open Ended,29-Dec-09,MSCI ACWI Metals & Mining 30% Buffer 10/40 (1994) Net TRI,14.99,17.89,14.2,-8.78,-15.37,-6.78,-8.07,-4.1,1.03,10.41,7.67,51,50,515687,32.25,11.46,7.45,Technology,2,1.28,6.73,-14.36,-0.48,-0.79,1.14,22.27,FoFs : Overseas,Nil
Edelweiss Aggressive Hybrid Fund-Reg(G),Bharat Lahoti,HY-MULTI,Unrated,2267.4,1.96,Open Ended,11-Aug-09,CRISIL Hybrid 35+65 - Aggressive Index,62.36,64.44,50.97,1.5,-3.6,3.88,20.63,23.43,17.23,18.05,12.46,104,78,250843,55.21,12.22,5.53,Financials,3.55,2.74,7.18,10.23,1.37,1.97,1.87,11.49,Hybrid : Multi Asset Allocation,Nil upto 10% of units and 1% for remaining units on or before 90D Nil after 90D
Edelweiss Arbitrage Fund-Reg(G),Bhavesh Jain,HY-ARB,4,12199.2,1.08,Open Ended,27-Jun-14,Nifty 50 Arbitrage,18.75,18.75,17.43,0.7,1.87,3.49,7.62,7.41,6.39,5.48,6.01,0,198,192233,50.64,18.08,4.37,Financials,0.43,0.41,7.18,3.73,3.43,7.57,-0.09,1.01,Hybrid : Arbitrage,0.10% on or before 30D Nil after 30D
Edelweiss ASEAN Equity Off-Shore Fund-Reg(G),Bhavesh Jain,FOF-OVR,Unrated,94.6,2.35,Open Ended,01-Jul-11,MSCI AC ASEAN 10/40 Index,27.87,29.3,23.42,-0.39,-3.69,13.77,14.52,6.25,5.75,5.18,5.3,16,59,122627,62.42,22.25,11.55,Financials,7.23,6.39,6.66,6.9,0.99,1.66,1.3,10.94,FoFs : Overseas,1% on or before 90D Nil after 90D
